Voltage,Current,Frequency,Temperature,Fault,Shutdown
243,19.24,49.9,41,Overload,Yes
155,2.4,49.74,28,Undervoltage,Yes
16,0.0,0.0,21,Line Break,Yes
259,16.15,49.87,50,Overload,Yes
250,19.01,50.02,54,Overload,Yes
18,0.0,0.0,25,Line Break,Yes
235,7.51,50.08,31,Normal,No
134,2.04,49.87,27,Undervoltage,Yes
2,0.0,0.0,20,Line Break,Yes
103,2.59,49.52,32,Undervoltage,Yes
295,5.62,50.17,30,Overvoltage,Yes
249,12.12,49.85,43,Overload,Yes
289,7.54,50.56,30,Overvoltage,Yes
238,3.26,49.97,33,Normal,No
140,4.09,49.27,29,Undervoltage,Yes
228,7.99,49.81,34,Normal,No
233,4.57,50.12,29,Normal,No
1,0.0,0.0,24,Line Break,Yes
249,10.37,50.02,44,Overload,Yes
164,5.37,49.98,33,Undervoltage,Yes
273,6.41,50.76,41,Overvoltage,Yes
177,5.63,49.94,32,Undervoltage,Yes
288,5.55,50.3,40,Overvoltage,Yes
162,3.49,49.06,31,Undervoltage,Yes
258,11.99,50.06,50,Overload,Yes
15,0.0,0.0,24,Line Break,Yes
11,0.0,0.0,23,Line Break,Yes
220,6.56,49.91,25,Normal,No
284,6.71,50.69,42,Overvoltage,Yes
15,0.0,0.0,24,Line Break,Yes
293,8.21,50.04,33,Overvoltage,Yes
2,0.0,0.0,30,Line Break,Yes
262,9.21,50.94,44,Overvoltage,Yes
289,6.69,50.24,35,Overvoltage,Yes
253,11.08,50.16,41,Overload,Yes
4,0.0,0.0,23,Line Break,Yes
267,7.37,50.73,35,Overvoltage,Yes
259,10.45,49.98,46,Overload,Yes
244,13.04,50.2,51,Overload,Yes
146,4.8,49.05,26,Undervoltage,Yes
150,3.34,49.64,26,Undervoltage,Yes
8,0.0,0.0,23,Line Break,Yes
228,6.88,49.99,26,Normal,No
19,0.0,0.0,23,Line Break,Yes
288,6.88,50.6,36,Overvoltage,Yes
271,7.72,50.27,31,Overvoltage,Yes
164,4.42,49.7,29,Undervoltage,Yes
266,6.34,50.02,30,Overvoltage,Yes
238,7.29,49.88,26,Normal,No
3,0.0,0.0,23,Line Break,Yes
294,5.05,50.81,37,Overvoltage,Yes
247,14.67,49.91,52,Overload,Yes
258,18.18,49.98,47,Overload,Yes
284,7.38,50.79,33,Overvoltage,Yes
291,5.41,50.82,31,Overvoltage,Yes
260,13.29,50.15,48,Overload,Yes
231,7.96,50.02,33,Normal,No
223,7.02,49.92,34,Normal,No
277,8.72,50.38,40,Overvoltage,Yes
173,3.61,49.83,31,Undervoltage,Yes
117,3.96,49.35,27,Undervoltage,Yes
141,4.85,49.09,31,Undervoltage,Yes
146,5.06,49.94,33,Undervoltage,Yes
280,5.46,50.69,36,Overvoltage,Yes
293,7.51,50.24,40,Overvoltage,Yes
257,19.58,50.09,47,Overload,Yes
10,0.0,0.0,29,Line Break,Yes
147,4.7,49.03,25,Undervoltage,Yes
225,5.29,49.87,25,Normal,No
130,2.69,49.3,34,Undervoltage,Yes
176,3.41,49.82,28,Undervoltage,Yes
242,15.84,49.85,48,Overload,Yes
245,16.57,49.85,45,Overload,Yes
103,3.73,49.3,28,Undervoltage,Yes
148,5.82,49.33,29,Undervoltage,Yes
240,3.65,50.05,31,Normal,No
274,8.7,50.08,41,Overvoltage,Yes
250,17.23,49.91,47,Overload,Yes
125,2.4,49.59,26,Undervoltage,Yes
142,4.59,49.2,33,Undervoltage,Yes
260,12.85,50.09,54,Overload,Yes
237,3.79,50.09,26,Normal,No
141,4.37,49.81,34,Undervoltage,Yes
4,0.0,0.0,30,Line Break,Yes
231,3.51,49.81,25,Normal,No
244,18.15,49.88,40,Overload,Yes
225,4.42,50.11,33,Normal,No
105,2.95,49.54,30,Undervoltage,Yes
279,7.31,50.66,34,Overvoltage,Yes
231,5.74,50.04,25,Normal,No
3,0.0,0.0,21,Line Break,Yes
282,5.45,50.12,44,Overvoltage,Yes
259,14.45,49.98,49,Overload,Yes
278,5.87,50.04,39,Overvoltage,Yes
259,18.5,49.99,44,Overload,Yes
117,5.14,49.7,31,Undervoltage,Yes
226,7.51,49.9,28,Normal,No
15,0.0,0.0,24,Line Break,Yes
16,0.0,0.0,28,Line Break,Yes
294,8.02,50.36,43,Overvoltage,Yes
234,4.82,49.97,25,Normal,No
13,0.0,0.0,25,Line Break,Yes
295,8.53,50.09,32,Overvoltage,Yes
261,5.39,50.03,31,Overvoltage,Yes
231,7.41,50.16,28,Normal,No
271,5.73,50.21,32,Overvoltage,Yes
14,0.0,0.0,21,Line Break,Yes
259,17.82,49.87,53,Overload,Yes
9,0.0,0.0,21,Line Break,Yes
14,0.0,0.0,21,Line Break,Yes
140,4.28,49.32,30,Undervoltage,Yes
237,6.69,50.0,28,Normal,No
137,5.16,49.3,25,Undervoltage,Yes
6,0.0,0.0,29,Line Break,Yes
252,10.34,49.8,44,Overload,Yes
4,0.0,0.0,26,Line Break,Yes
288,7.23,50.84,35,Overvoltage,Yes
242,10.65,50.19,47,Overload,Yes
133,5.51,49.45,34,Undervoltage,Yes
245,19.92,50.01,54,Overload,Yes
283,8.75,50.81,45,Overvoltage,Yes
287,7.06,50.78,30,Overvoltage,Yes
281,8.65,50.86,39,Overvoltage,Yes
141,4.31,49.72,35,Undervoltage,Yes
12,0.0,0.0,22,Line Break,Yes
263,7.82,50.68,37,Overvoltage,Yes
14,0.0,0.0,26,Line Break,Yes
230,7.59,49.94,26,Normal,No
264,7.2,50.62,43,Overvoltage,Yes
6,0.0,0.0,22,Line Break,Yes
232,7.36,50.07,35,Normal,No
251,16.73,50.09,41,Overload,Yes
15,0.0,0.0,26,Line Break,Yes
243,11.05,49.96,43,Overload,Yes
1,0.0,0.0,23,Line Break,Yes
286,6.28,50.67,41,Overvoltage,Yes
170,4.63,49.26,26,Undervoltage,Yes
259,19.1,50.2,49,Overload,Yes
16,0.0,0.0,23,Line Break,Yes
251,19.89,50.13,47,Overload,Yes
233,5.23,49.99,25,Normal,No
20,0.0,0.0,21,Line Break,Yes
291,6.93,50.68,35,Overvoltage,Yes
251,17.94,49.8,47,Overload,Yes
0,0.0,0.0,24,Line Break,Yes
235,7.16,49.87,26,Normal,No
233,6.62,50.06,35,Normal,No
17,0.0,0.0,21,Line Break,Yes
241,19.27,50.12,43,Overload,Yes
15,0.0,0.0,27,Line Break,Yes
2,0.0,0.0,23,Line Break,Yes
225,3.41,50.04,27,Normal,No
177,4.23,49.79,34,Undervoltage,Yes
223,5.25,50.01,28,Normal,No
257,17.31,50.05,48,Overload,Yes
11,0.0,0.0,27,Line Break,Yes
162,3.82,49.22,26,Undervoltage,Yes
221,4.78,50.03,31,Normal,No
229,7.97,49.91,28,Normal,No
230,3.02,50.03,26,Normal,No
230,3.65,50.08,32,Normal,No
153,3.68,49.24,25,Undervoltage,Yes
265,8.24,50.17,33,Overvoltage,Yes
123,3.54,49.88,35,Undervoltage,Yes
272,5.27,50.4,33,Overvoltage,Yes
270,9.2,50.18,43,Overvoltage,Yes
234,7.7,50.02,29,Normal,No
260,14.63,50.13,51,Overload,Yes
123,3.73,49.69,27,Undervoltage,Yes
247,16.68,50.05,41,Overload,Yes
233,3.66,50.08,30,Normal,No
110,4.37,49.53,28,Undervoltage,Yes
237,4.74,49.83,32,Normal,No
240,5.16,49.89,33,Normal,No
268,7.51,50.04,35,Overvoltage,Yes
289,6.99,50.92,43,Overvoltage,Yes
235,7.02,50.13,35,Normal,No
156,3.83,49.79,31,Undervoltage,Yes
108,5.2,49.2,25,Undervoltage,Yes
0,0.0,0.0,28,Line Break,Yes
223,5.15,50.04,33,Normal,No
240,4.6,50.02,35,Normal,No
165,4.07,49.1,34,Undervoltage,Yes
158,4.9,49.35,27,Undervoltage,Yes
254,15.9,50.17,43,Overload,Yes
293,8.59,50.98,44,Overvoltage,Yes
240,18.16,50.06,46,Overload,Yes
233,6.37,50.01,27,Normal,No
146,5.35,49.8,28,Undervoltage,Yes
249,10.9,49.95,53,Overload,Yes
226,3.77,49.83,33,Normal,No
11,0.0,0.0,30,Line Break,Yes
237,3.39,49.81,35,Normal,No
254,16.11,49.96,41,Overload,Yes
244,16.98,50.19,49,Overload,Yes
274,5.76,50.37,37,Overvoltage,Yes
253,18.27,50.01,46,Overload,Yes
136,4.65,50.0,35,Undervoltage,Yes
275,9.23,50.28,33,Overvoltage,Yes
20,0.0,0.0,20,Line Break,Yes
12,0.0,0.0,28,Line Break,Yes
176,5.08,49.17,26,Undervoltage,Yes
276,5.07,50.12,31,Overvoltage,Yes
245,17.18,49.86,46,Overload,Yes
239,6.81,50.17,26,Normal,No
275,6.48,50.92,42,Overvoltage,Yes
280,7.04,50.68,31,Overvoltage,Yes
12,0.0,0.0,29,Line Break,Yes
175,2.6,49.02,27,Undervoltage,Yes
113,5.66,49.44,33,Undervoltage,Yes
224,7.05,49.96,26,Normal,No
146,2.03,49.27,26,Undervoltage,Yes
106,3.7,49.66,26,Undervoltage,Yes
243,14.04,50.06,40,Overload,Yes
282,8.91,50.88,45,Overvoltage,Yes
254,10.84,50.09,47,Overload,Yes
265,9.44,50.71,39,Overvoltage,Yes
245,15.77,50.04,50,Overload,Yes
229,4.38,49.99,29,Normal,No
228,6.39,49.85,35,Normal,No
239,3.23,50.03,29,Normal,No
231,7.49,49.96,31,Normal,No
261,8.65,50.25,41,Overvoltage,Yes
170,2.0,49.77,26,Undervoltage,Yes
262,7.64,50.01,30,Overvoltage,Yes
228,4.15,49.8,31,Normal,No
295,5.85,50.83,39,Overvoltage,Yes
6,0.0,0.0,20,Line Break,Yes
220,4.94,50.07,27,Normal,No
236,4.8,50.0,34,Normal,No
229,7.12,49.98,29,Normal,No
270,6.89,50.41,33,Overvoltage,Yes
271,6.33,50.58,35,Overvoltage,Yes
244,11.21,49.96,51,Overload,Yes
116,5.73,49.96,30,Undervoltage,Yes
249,12.64,50.12,46,Overload,Yes
269,9.61,50.87,35,Overvoltage,Yes
239,3.24,49.9,28,Normal,No
6,0.0,0.0,29,Line Break,Yes
257,19.72,49.96,55,Overload,Yes
290,5.25,50.41,42,Overvoltage,Yes
11,0.0,0.0,20,Line Break,Yes
235,4.22,49.84,26,Normal,No
243,10.27,49.94,51,Overload,Yes
137,2.9,49.03,31,Undervoltage,Yes
254,18.6,50.09,42,Overload,Yes
16,0.0,0.0,28,Line Break,Yes
290,5.47,50.71,31,Overvoltage,Yes
20,0.0,0.0,22,Line Break,Yes
251,13.41,50.18,45,Overload,Yes
179,3.58,49.41,25,Undervoltage,Yes
245,15.7,49.94,50,Overload,Yes
114,2.34,49.7,33,Undervoltage,Yes
272,5.7,50.52,43,Overvoltage,Yes
281,6.19,50.58,36,Overvoltage,Yes
143,5.9,49.58,33,Undervoltage,Yes
18,0.0,0.0,29,Line Break,Yes
130,3.37,49.97,30,Undervoltage,Yes
295,5.52,50.99,41,Overvoltage,Yes
163,3.41,49.03,25,Undervoltage,Yes
221,5.97,50.07,34,Normal,No
7,0.0,0.0,23,Line Break,Yes
222,3.45,50.16,27,Normal,No
20,0.0,0.0,20,Line Break,Yes
298,7.35,50.27,38,Overvoltage,Yes
224,6.6,49.95,27,Normal,No
19,0.0,0.0,29,Line Break,Yes
298,8.08,50.86,45,Overvoltage,Yes
244,12.05,50.1,40,Overload,Yes
259,11.33,49.86,53,Overload,Yes
118,4.83,49.76,35,Undervoltage,Yes
287,7.49,50.51,42,Overvoltage,Yes
250,18.73,49.8,40,Overload,Yes
263,7.84,50.98,35,Overvoltage,Yes
250,12.01,49.82,43,Overload,Yes
7,0.0,0.0,27,Line Break,Yes
6,0.0,0.0,25,Line Break,Yes
103,5.03,49.83,35,Undervoltage,Yes
243,17.4,49.8,49,Overload,Yes
229,5.15,50.15,28,Normal,No
250,19.92,50.17,42,Overload,Yes
130,5.53,49.12,28,Undervoltage,Yes
155,4.85,49.54,35,Undervoltage,Yes
248,10.7,50.17,42,Overload,Yes
275,9.14,50.44,44,Overvoltage,Yes
112,2.48,49.63,32,Undervoltage,Yes
158,2.83,49.8,32,Undervoltage,Yes
173,3.27,49.9,30,Undervoltage,Yes
231,5.63,50.1,34,Normal,No
288,6.46,50.96,41,Overvoltage,Yes
0,0.0,0.0,23,Line Break,Yes
300,7.29,50.24,39,Overvoltage,Yes
286,6.8,50.72,41,Overvoltage,Yes
260,11.82,50.18,47,Overload,Yes
13,0.0,0.0,23,Line Break,Yes
252,17.58,50.1,46,Overload,Yes
107,4.53,49.9,34,Undervoltage,Yes
121,2.08,49.46,32,Undervoltage,Yes
261,8.9,50.83,40,Overvoltage,Yes
275,7.67,50.53,43,Overvoltage,Yes
15,0.0,0.0,29,Line Break,Yes
5,0.0,0.0,29,Line Break,Yes
252,15.24,50.0,44,Overload,Yes
229,5.66,50.02,28,Normal,No
245,13.33,49.93,45,Overload,Yes
176,4.86,49.72,31,Undervoltage,Yes
229,7.83,50.07,28,Normal,No
140,4.78,49.09,31,Undervoltage,Yes
130,2.98,49.53,27,Undervoltage,Yes
2,0.0,0.0,22,Line Break,Yes
148,3.49,49.58,31,Undervoltage,Yes
7,0.0,0.0,24,Line Break,Yes
243,18.48,50.12,43,Overload,Yes
256,18.5,50.02,53,Overload,Yes
297,9.76,50.45,35,Overvoltage,Yes
238,4.31,49.89,34,Normal,No
6,0.0,0.0,25,Line Break,Yes
257,17.08,50.16,45,Overload,Yes
1,0.0,0.0,22,Line Break,Yes
222,3.2,50.13,34,Normal,No
297,6.75,50.8,37,Overvoltage,Yes
11,0.0,0.0,27,Line Break,Yes
298,9.34,50.83,44,Overvoltage,Yes
3,0.0,0.0,29,Line Break,Yes
245,16.53,50.09,44,Overload,Yes
259,14.36,50.16,45,Overload,Yes
149,3.1,49.64,26,Undervoltage,Yes
254,13.02,50.04,47,Overload,Yes
264,7.4,50.81,43,Overvoltage,Yes
238,3.03,50.06,25,Normal,No
243,12.64,49.86,46,Overload,Yes
226,4.34,50.05,28,Normal,No
231,4.65,49.96,29,Normal,No
245,19.74,49.96,41,Overload,Yes
236,7.8,50.16,32,Normal,No
293,7.13,50.25,37,Overvoltage,Yes
254,12.78,49.98,54,Overload,Yes
7,0.0,0.0,22,Line Break,Yes
259,13.91,49.88,43,Overload,Yes
108,3.79,49.1,26,Undervoltage,Yes
122,2.09,49.98,32,Undervoltage,Yes
223,7.71,50.14,35,Normal,No
19,0.0,0.0,25,Line Break,Yes
3,0.0,0.0,23,Line Break,Yes
238,6.33,49.92,34,Normal,No
226,4.99,49.86,26,Normal,No
274,5.21,50.74,31,Overvoltage,Yes
255,15.56,49.88,54,Overload,Yes
246,14.69,50.09,50,Overload,Yes
244,19.15,50.09,40,Overload,Yes
16,0.0,0.0,23,Line Break,Yes
119,2.92,49.58,26,Undervoltage,Yes
227,7.76,49.81,31,Normal,No
255,14.49,49.91,46,Overload,Yes
108,5.79,49.44,34,Undervoltage,Yes
15,0.0,0.0,25,Line Break,Yes
257,14.55,50.14,49,Overload,Yes
282,8.97,50.61,39,Overvoltage,Yes
300,8.56,50.15,35,Overvoltage,Yes
273,5.01,50.49,31,Overvoltage,Yes
6,0.0,0.0,25,Line Break,Yes
234,5.7,50.04,31,Normal,No
17,0.0,0.0,30,Line Break,Yes
298,9.69,50.89,36,Overvoltage,Yes
9,0.0,0.0,23,Line Break,Yes
17,0.0,0.0,24,Line Break,Yes
259,10.45,50.05,40,Overload,Yes
252,17.86,49.95,43,Overload,Yes
261,9.11,50.94,37,Overvoltage,Yes
278,7.26,50.23,41,Overvoltage,Yes
230,3.92,49.86,33,Normal,No
107,5.46,49.5,25,Undervoltage,Yes
244,12.23,49.86,53,Overload,Yes
246,14.12,49.97,42,Overload,Yes
265,8.14,50.37,45,Overvoltage,Yes
258,19.01,49.81,43,Overload,Yes
230,5.5,49.92,31,Normal,No
20,0.0,0.0,29,Line Break,Yes
20,0.0,0.0,24,Line Break,Yes
226,7.01,50.19,34,Normal,No
113,4.37,49.49,35,Undervoltage,Yes
237,6.87,50.05,29,Normal,No
9,0.0,0.0,20,Line Break,Yes
235,5.93,49.88,28,Normal,No
106,5.02,49.32,29,Undervoltage,Yes
247,17.1,50.02,45,Overload,Yes
13,0.0,0.0,27,Line Break,Yes
248,18.99,50.16,47,Overload,Yes
151,4.71,49.13,33,Undervoltage,Yes
251,18.74,50.0,43,Overload,Yes
221,6.82,49.93,27,Normal,No
256,18.45,50.08,54,Overload,Yes
167,2.67,49.18,32,Undervoltage,Yes
19,0.0,0.0,29,Line Break,Yes
144,4.66,49.09,28,Undervoltage,Yes
263,6.24,50.55,39,Overvoltage,Yes
252,13.31,50.1,53,Overload,Yes
240,4.32,50.01,31,Normal,No
1,0.0,0.0,30,Line Break,Yes
123,4.1,49.38,35,Undervoltage,Yes
124,2.85,49.59,29,Undervoltage,Yes
164,5.98,49.03,35,Undervoltage,Yes
220,7.11,50.09,35,Normal,No
17,0.0,0.0,30,Line Break,Yes
252,14.53,50.14,40,Overload,Yes
277,7.12,50.57,38,Overvoltage,Yes
15,0.0,0.0,29,Line Break,Yes
284,5.71,50.74,32,Overvoltage,Yes
268,9.59,50.3,44,Overvoltage,Yes
117,3.88,49.2,33,Undervoltage,Yes
265,9.15,50.38,42,Overvoltage,Yes
272,7.61,50.11,41,Overvoltage,Yes
1,0.0,0.0,28,Line Break,Yes
224,3.26,49.9,26,Normal,No
109,4.49,49.59,26,Undervoltage,Yes
15,0.0,0.0,23,Line Break,Yes
258,19.43,50.08,42,Overload,Yes
176,2.24,49.99,35,Undervoltage,Yes
269,9.37,50.83,39,Overvoltage,Yes
250,19.91,50.15,40,Overload,Yes
238,5.93,49.85,28,Normal,No
296,9.7,50.02,38,Overvoltage,Yes
281,6.25,50.89,41,Overvoltage,Yes
120,3.06,49.95,31,Undervoltage,Yes
247,17.45,50.16,44,Overload,Yes
272,9.02,50.5,30,Overvoltage,Yes
1,0.0,0.0,20,Line Break,Yes
280,6.51,50.46,40,Overvoltage,Yes
288,6.97,50.78,40,Overvoltage,Yes
300,8.53,50.6,33,Overvoltage,Yes
239,5.92,50.12,29,Normal,No
16,0.0,0.0,24,Line Break,Yes
283,9.78,50.47,31,Overvoltage,Yes
270,9.73,50.56,36,Overvoltage,Yes
174,5.59,49.17,33,Undervoltage,Yes
223,7.9,49.81,29,Normal,No
244,19.86,50.12,53,Overload,Yes
175,2.26,49.75,28,Undervoltage,Yes
249,14.18,50.0,51,Overload,Yes
260,10.4,49.97,55,Overload,Yes
293,5.96,50.95,30,Overvoltage,Yes
259,10.18,50.17,54,Overload,Yes
244,19.18,50.11,44,Overload,Yes
234,5.19,49.81,31,Normal,No
240,4.63,50.16,32,Normal,No
228,5.0,50.02,33,Normal,No
253,12.1,50.08,43,Overload,Yes
252,11.69,49.95,51,Overload,Yes
249,11.92,49.82,43,Overload,Yes
111,4.96,49.34,30,Undervoltage,Yes
146,4.2,49.84,33,Undervoltage,Yes
255,19.62,49.82,54,Overload,Yes
297,5.06,50.66,35,Overvoltage,Yes
243,17.29,49.92,48,Overload,Yes
171,3.07,49.28,35,Undervoltage,Yes
294,8.42,50.8,39,Overvoltage,Yes
119,5.88,49.25,25,Undervoltage,Yes
242,11.69,49.92,50,Overload,Yes
296,6.48,50.68,30,Overvoltage,Yes
159,4.35,49.57,30,Undervoltage,Yes
11,0.0,0.0,23,Line Break,Yes
221,6.03,50.06,34,Normal,No
222,7.79,49.83,25,Normal,No
236,3.33,49.88,33,Normal,No
172,2.04,49.02,31,Undervoltage,Yes
231,7.19,49.83,31,Normal,No
228,3.37,49.88,35,Normal,No
277,8.88,50.95,41,Overvoltage,Yes
225,7.16,49.83,33,Normal,No
131,4.38,49.46,31,Undervoltage,Yes
285,7.22,50.28,42,Overvoltage,Yes
15,0.0,0.0,21,Line Break,Yes
288,5.57,50.91,36,Overvoltage,Yes
228,3.86,49.88,34,Normal,No
220,4.92,50.04,32,Normal,No
244,15.8,50.1,50,Overload,Yes
10,0.0,0.0,25,Line Break,Yes
254,19.12,49.9,44,Overload,Yes
252,18.65,50.14,50,Overload,Yes
11,0.0,0.0,21,Line Break,Yes
13,0.0,0.0,27,Line Break,Yes
7,0.0,0.0,20,Line Break,Yes
167,5.79,49.86,28,Undervoltage,Yes
262,5.06,50.88,30,Overvoltage,Yes
139,2.69,49.29,30,Undervoltage,Yes
220,7.56,50.05,34,Normal,No
0,0.0,0.0,28,Line Break,Yes
260,11.45,49.85,51,Overload,Yes
244,13.23,50.09,53,Overload,Yes
257,12.13,49.92,42,Overload,Yes
299,7.23,50.36,32,Overvoltage,Yes
253,15.13,49.99,41,Overload,Yes
278,5.43,50.36,30,Overvoltage,Yes
126,5.16,49.32,26,Undervoltage,Yes
120,5.96,49.75,33,Undervoltage,Yes
248,14.6,50.16,52,Overload,Yes
124,2.99,49.23,34,Undervoltage,Yes
286,8.95,50.43,36,Overvoltage,Yes
144,3.9,49.06,32,Undervoltage,Yes
107,3.07,49.62,35,Undervoltage,Yes
246,16.4,50.15,46,Overload,Yes
124,4.53,49.71,27,Undervoltage,Yes
138,4.65,49.14,27,Undervoltage,Yes
14,0.0,0.0,26,Line Break,Yes
133,2.34,49.62,32,Undervoltage,Yes
170,4.62,49.69,33,Undervoltage,Yes
226,7.88,50.17,34,Normal,No
15,0.0,0.0,21,Line Break,Yes
230,7.39,50.16,26,Normal,No
3,0.0,0.0,24,Line Break,Yes
244,18.3,49.98,45,Overload,Yes
251,12.26,49.9,45,Overload,Yes
260,17.27,49.95,49,Overload,Yes
17,0.0,0.0,30,Line Break,Yes
254,14.54,49.87,54,Overload,Yes
240,4.54,50.13,33,Normal,No
275,5.97,50.84,38,Overvoltage,Yes
175,5.74,49.8,27,Undervoltage,Yes
260,18.98,49.98,46,Overload,Yes
289,6.96,50.95,33,Overvoltage,Yes
156,2.59,49.75,31,Undervoltage,Yes
252,10.13,49.81,49,Overload,Yes
0,0.0,0.0,29,Line Break,Yes
223,5.22,49.81,28,Normal,No
17,0.0,0.0,26,Line Break,Yes
2,0.0,0.0,24,Line Break,Yes
1,0.0,0.0,21,Line Break,Yes
224,5.83,50.12,30,Normal,No
271,9.72,50.6,30,Overvoltage,Yes
221,4.23,50.16,29,Normal,No
256,16.93,50.07,52,Overload,Yes
242,17.74,49.93,50,Overload,Yes
129,5.41,49.91,31,Undervoltage,Yes
289,9.68,50.49,44,Overvoltage,Yes
222,4.07,50.15,35,Normal,No
15,0.0,0.0,25,Line Break,Yes
11,0.0,0.0,27,Line Break,Yes
255,18.92,49.86,45,Overload,Yes
255,15.4,49.87,40,Overload,Yes
12,0.0,0.0,25,Line Break,Yes
244,12.2,49.87,47,Overload,Yes
149,2.29,49.13,30,Undervoltage,Yes
3,0.0,0.0,26,Line Break,Yes
223,6.83,49.97,27,Normal,No
234,3.89,50.18,35,Normal,No
244,14.32,49.87,55,Overload,Yes
9,0.0,0.0,23,Line Break,Yes
137,4.56,49.66,28,Undervoltage,Yes
231,3.26,49.82,30,Normal,No
300,6.36,50.52,45,Overvoltage,Yes
254,13.52,49.9,49,Overload,Yes
272,9.68,50.69,45,Overvoltage,Yes
148,3.28,49.69,30,Undervoltage,Yes
281,7.31,50.95,32,Overvoltage,Yes
2,0.0,0.0,21,Line Break,Yes
228,3.57,49.82,26,Normal,No
288,5.61,50.18,45,Overvoltage,Yes
288,5.45,50.17,38,Overvoltage,Yes
230,5.16,50.12,29,Normal,No
107,2.63,49.36,26,Undervoltage,Yes
129,5.02,49.72,26,Undervoltage,Yes
254,17.33,49.93,40,Overload,Yes
244,18.39,49.88,48,Overload,Yes
268,7.82,50.15,34,Overvoltage,Yes
15,0.0,0.0,30,Line Break,Yes
224,5.59,50.18,30,Normal,No
270,5.15,50.33,36,Overvoltage,Yes
222,7.55,50.01,26,Normal,No
20,0.0,0.0,26,Line Break,Yes
152,2.3,49.0,35,Undervoltage,Yes
155,5.0,49.89,30,Undervoltage,Yes
142,4.49,49.34,30,Undervoltage,Yes
1,0.0,0.0,27,Line Break,Yes
224,5.58,50.05,35,Normal,No
141,3.32,49.78,33,Undervoltage,Yes
270,6.07,50.68,34,Overvoltage,Yes
19,0.0,0.0,23,Line Break,Yes
253,17.76,50.0,42,Overload,Yes
260,15.7,49.97,52,Overload,Yes
16,0.0,0.0,26,Line Break,Yes
235,6.01,50.09,34,Normal,No
17,0.0,0.0,22,Line Break,Yes
242,19.31,49.85,46,Overload,Yes
103,3.08,49.92,34,Undervoltage,Yes
224,6.32,49.87,34,Normal,No
243,13.54,49.92,41,Overload,Yes
159,3.04,49.1,32,Undervoltage,Yes
277,9.11,50.87,32,Overvoltage,Yes
116,2.13,49.59,31,Undervoltage,Yes
253,16.21,50.11,49,Overload,Yes
179,3.1,49.99,30,Undervoltage,Yes
107,5.15,49.33,25,Undervoltage,Yes
246,16.81,50.04,47,Overload,Yes
258,11.18,49.94,51,Overload,Yes
291,5.9,50.52,38,Overvoltage,Yes
249,17.79,49.89,42,Overload,Yes
261,6.79,50.82,30,Overvoltage,Yes
226,7.62,50.14,25,Normal,No
266,8.33,50.42,38,Overvoltage,Yes
242,12.19,50.2,47,Overload,Yes
121,3.19,49.38,33,Undervoltage,Yes
4,0.0,0.0,23,Line Break,Yes
263,6.42,50.62,44,Overvoltage,Yes
225,5.5,49.8,30,Normal,No
9,0.0,0.0,24,Line Break,Yes
5,0.0,0.0,26,Line Break,Yes
292,9.76,50.51,34,Overvoltage,Yes
15,0.0,0.0,23,Line Break,Yes
100,3.39,49.64,33,Undervoltage,Yes
226,5.14,49.83,27,Normal,No
14,0.0,0.0,27,Line Break,Yes
243,16.26,49.81,49,Overload,Yes
222,3.38,49.82,25,Normal,No
233,3.35,49.99,26,Normal,No
221,3.95,50.14,28,Normal,No
235,3.43,50.0,35,Normal,No
